Descuento,Deuda,Edad,Unidades curriculares 1.º semestre (matriculadas),Unidades curriculares 1.º semestre (evaluadas),Unidades curriculares 1.º semestre (aprobadas),Desarrollo de Tareas (%),Asistencia (%),Promedio ponderado del semestre,¿La distancia y la separación de mi familia para estudiar en la universidad me hacen considerar abandonar mis estudios.?,¿La incompatibilidad entre mis horarios de trabajo y las clases me llevaría a abandonar la carrera.?,¿La calidad de la enseñanza y las metodologías docentes me desmotivan al punto de pensar en abandonar?,"¿La falta de recursos económicos, becas o facilidades de pago me haría interrumpir mis estudios?","¿Me siento poco integrado/a con mis compañeros y actividades universitarias, lo que me hace pensar en abandonar?","¿El estrés, la ansiedad u otros problemas de bienestar asociados a la vida universitaria me hacen considerar abandonar?",¿La falta de seguridad dentro o cerca del campus influye en mi intención de abandonar?,¿La retroalimentación tardía o poco clara de los docentes afecta mi continuidad y me hace pensar en abandonar?,¿La carrera/facultad donde estoy matriculado no cumple mis expectativas y me hace pensar en retirarme?,¿La dificultad de los cursos supera mis capacidades actuales y me lleva a considerar dejar la universidad?,¿Cuento con poco apoyo familiar para continuar mis estudios y eso me hace considerar el abandono?,"¿Me cuesta adaptarme a la cultura y normas institucionales, lo que afecta mi permanencia?","¿No veo una trayectoria profesional clara a partir de mi carrera actual, por lo que consideraría retirarme?",PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
392.13,2735.37,20,5,5,4,83.9,84.0,16.64,5,1,5,5,2,3,5,2,3,3,4,4,2,-0.06808730124753555,0.9195126337242802,1.975644623621644,0.6204162393039797,-0.48142258927593967,-0.556740399764258,-0.767046441249576,0.7190750943619825,1.5545315608390056,-0.10193726222138172
362.19,3833.77,28,6,5,4,69.6,80.5,13.76,2,5,3,5,3,2,1,1,5,2,3,5,5,0.05883015035028796,0.00314712852781429,3.2046866507098066,-0.10337510807725613,0.044338758171020516,2.3870951060221155,0.1376963602248905,-0.33771521487200457,0.07112195916750498,-0.300319896555036
520.89,1080.84,25,8,7,3,82.5,84.0,9.95,5,1,5,2,1,3,3,4,5,5,1,5,3,0.7125595720284352,-1.8002549901958862,-0.9416908325056662,1.1811074586875643,-0.7057294805575356,-0.7767744303688595,-1.8611653176166538,-0.8406424147004172,2.1064998353436994,-0.9303168308189768
587.24,779.52,21,4,3,2,83.7,83.8,16.08,4,5,1,4,3,1,2,2,4,3,1,4,1,-1.9373788065272604,1.9727095474645395,0.7089640756526046,0.2710656156051946,-1.0662397196683662,-0.43566287432494505,0.47719374340202325,-1.5323754704347095,0.16888249654989315,0.3053223026139727
713.78,560.9,23,8,7,4,100.0,81.7,13.08,3,1,1,5,5,1,3,2,2,4,5,5,3,1.6556156191881926,-0.010374922753245988,0.043746719344803196,2.5310463673674017,-0.2239462194794401,0.7009968943670467,-0.2216736547823887,0.7121662241752916,-0.7147876810493743,0.06623524231884792
557.78,1092.29,17,7,7,5,86.9,86.4,13.98,1,5,5,3,1,4,1,3,2,5,1,1,1,1.559318856236348,-0.7437442660526672,-0.5425903929989764,-1.2741486906343698,0.5113823414688264,-2.1883638341525193,1.3713593212452744,-0.014605220353132116,0.7443153825768908,0.4690229867569746
331.39,377.38,18,4,3,2,92.9,87.4,13.96,3,1,5,2,1,1,3,5,2,4,3,5,4,-2.1884225920987266,1.431143163210254,-1.1925679253033306,1.0842995968263351,0.6275188996006055,-2.7157948231494236,-0.8746505404448054,1.0008152679226994,0.357488856180824,-1.0130133193726811
261.74,678.02,24,4,3,2,73.2,78.5,14.93,2,3,1,1,1,1,5,1,2,2,1,3,2,-1.9956865583760084,1.9602324842371097,-0.5955501141929223,-0.7758431115000144,-0.8301677821436485,-0.28552447668949993,-0.6247672449340487,-2.2348785693056725,-0.4977844722307411,0.3304786491713914
1017.14,753.76,27,8,8,4,60.5,82.4,9.38,5,5,5,3,1,5,2,5,1,5,1,4,5,1.3735873194672419,-2.832384594257746,-1.2089966145404891,-0.8109220969823348,-0.20953122266048785,0.24858463197558273,-1.2360127388368125,0.7443740956819345,1.0969341940799378,1.7678024852390275
523.94,1514.97,26,7,6,4,71.7,83.9,14.54,1,4,5,3,4,4,3,1,4,5,4,2,1,0.7600119512952515,-0.9856711631100343,0.25070274003733994,-0.9269373492317685,0.0737908690489177,1.4136977452288553,1.9930866611085583,-0.6722157106373515,0.9922022297663293,-0.3358576269112157
